database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	iBAT ZT_00 rep1	iBAT ZT_00 rep2	iBAT ZT_00 rep3	iBAT ZT_00 rep4	iBAT ZT_03 rep1	iBAT ZT_03 rep2	iBAT ZT_03 rep3	iBAT ZT_03 rep4	iBAT ZT_06 rep1	iBAT ZT_06 rep2	iBAT ZT_06 rep3	iBAT ZT_06 rep4	iBAT ZT_09 rep1	iBAT ZT_09 rep2	iBAT ZT_09 rep3	iBAT ZT_09 rep4	iBAT ZT_12 rep1	iBAT ZT_12 rep2	iBAT ZT_12 rep3	iBAT ZT_12 rep4	iBAT ZT_15 rep1	iBAT ZT_15 rep2	iBAT ZT_15 rep3	iBAT ZT_15 rep4	iBAT ZT_18 rep1	iBAT ZT_18 rep2	iBAT ZT_18 rep3	iBAT ZT_18 rep4	iBAT ZT_21 rep1	iBAT ZT_21 rep2	iBAT ZT_21 rep3	iBAT ZT_21 rep4
	C44H86O8P1N1			PC(36:1)	788.6146	[M+H]+															315.739	366.788	306.083	335.279	300.276	300.671	405.783	327.43	310.975	334.583	311.205	250.413	330.926	354.809	390.384	314.25	399.312	274.999	331.506	299.074	331.134	324.189	371.425	328.267	331.991	298.184	449.012	426.798	512.041	347.741	439.523	336.397
	C44H84O8P1N1			PC(36:2)	786.5992	[M+H]+															1695.28	1819.53	1146.05	1447.94	1342.54	1104.52	1068	1029.13	1730.9	1683.96	1771.21	1350.98	1953.92	1947.21	1744.66	1938.86	1518.6	1841.51	1833.01	1403.51	1563.11	1941.08	1678.11	1518.61	966.703	1207.05	1971.51	1401.31	1753.43	1767.56	2316.89	1249.02
	C44H82O8P1N1			PC(36:3)	784.5838	[M+H]+															922.505	885.057	682.628	890.094	853.334	938.244	1041.44	1000.02	989.46	1008.99	1095.49	894.381	1116.84	947.283	1251.56	972.366	1218.34	871.111	856.706	1124.03	939.622	794.27	811.842	852.466	571.591	751.061	994.583	795.851	813.068	1030.89	1313.15	842.559
	C44H80O8P1N1			PC(36:4)	782.5685	[M+H]+															848.18	726.011	547.578	800.139	806.316	790.824	812.272	687.929	827.561	796.756	972.23	684.58	971.412	679.643	947.196	847.971	866.513	774.769	709.992	896.216	767.305	635.035	683.535	665.473	406.464	618.147	773.279	564.402	682.347	745.792	1002.95	606.429
	C44H78O8P1N1			PC(36:5)	780.553	[M+H]+															66.7249	56.7143	46.0665	68.8778	57.9243	67.2359	100.097	70.8567	67.2301	62.0704	72.2849	52.1214	73.2586	46.5088	77.684	60.3363	70.3246	56.166	46.7384	78.783	64.4224	39.8996	39.7553	54.9195	41.0659	58.1124	65.1585	41.2292	48.1094	57.4789	85.4248	57.2533
	C44H76O8P1N1			PC(36:6)	778.5368	[M+H]+															2.69825	2.05341	1.15212	2.89972	3.93007	3.56516	5.4828	5.33824	2.76261	3.13999	3.97084	2.74177	3.99409	2.61591	4.43594	2.19714	3.43227	3.71286	2.46108	3.64092	3.01969	1.85585	1.53771	2.45025	1.38672	3.84093	2.82687	2.82219	2.01419	2.71485	3.34123	3.18123
	C45H88O8P1N1			PC(37:1)	802.6307	[M+H]+															4.77939	4.74973	3.5414	3.70123	3.87544	2.81579	3.35008	3.3221	3.30811	3.66763	4.44071	3.27425	4.48281	4.16854	3.99468	3.66981	4.83397	4.2179	5.06925	4.13871	4.66293	6.02814	4.85256	4.84475	3.29494	3.79038	3.59623	4.22861	5.36434	5.3671	5.00581	3.11685
	C45H86O8P1N1			PC(37:2)	800.6149	[M+H]+															24.5503	22.9074	12.1194	13.8748	18.7005	13.0447	8.21163	11.4398	16.3293	17.4229	23.4712	16.5345	24.7522	23.918	15.985	21.5475	14.7256	25.3835	26.8276	16.6136	21.1938	32.9223	24.43	22.8468	9.68753	14.1156	18.2351	15.4963	20.9266	26.1682	26.009	11.6458
	C45H84O8P1N1			PC(37:3)	798.5994	[M+H]+															6.47855	5.94278	3.44338	4.60691	5.61015	4.60124	4.59619	4.27526	5.22042	5.32856	6.98409	5.57502	6.14763	5.74557	5.74797	5.85137	5.97167	7.28763	5.84546	6.42703	6.57191	7.45306	6.01255	6.12156	2.3663	4.9541	4.97867	4.76173	5.37769	7.07291	7.01973	4.03973
	C45H82O8P1N1			PC(37:4)	796.5842	[M+H]+															6.0415	5.46991	3.55441	5.44748	6.57933	4.91254	3.96964	3.85499	4.92531	4.94387	7.80349	4.12122	7.18336	5.68982	5.18858	6.94141	5.75102	6.74329	6.85831	6.0293	5.49237	7.85897	5.6576	5.24994	2.71509	4.3061	4.65885	4.0808	6.55144	5.09971	5.69067	3.372
	C45H80O8P1N1			PC(37:5)	794.5686	[M+H]+															1.77514	1.05933	0.878307	1.85027	1.92607	1.37649	1.60261	1.5552	1.23642	1.31394	2.43067	1.31189	1.39623	1.34531	1.95577	1.22738	2.02338	1.522	1.56197	2.17091	1.12076	1.08167	1.53836	1.34037	0.836974	1.13152	1.00658	1.27851	1.34903	1.28126	1.87314	0.864971
	C46H90O8P1N1			PC(38:1)	816.6465	[M+H]+															7.90228	11.2927	10.0122	5.34355	10.1793	7.92025	8.06781	5.67335	5.93357	6.62185	7.1282	5.90947	7.1025	8.25336	6.6039	6.26325	11.6269	6.41481	13.1543	5.82225	6.84043	8.15516	14.34	7.57129	5.34397	4.90046	17.2178	11.7542	17.4866	9.62622	8.87405	5.41836
	C46H88O8P1N1			PC(38:2)	814.6308	[M+H]+															39.7999	42.1743	27.4384	30.2846	32.6944	30.649	28.005	28.6639	32.5843	38.3837	38.8475	31.1408	39.6866	37.7746	34.9209	37.2954	35.2619	40.185	39.7049	31.7639	38.9848	44.0947	44.4786	40.9401	21.426	29.0697	45.02	35.1283	38.7125	44.1247	46.4794	28.2146
	C46H86O8P1N1			PC(38:3)	812.6151	[M+H]+															116.907	120.051	71.9973	95.936	96.6486	78.8236	80.0124	75.8689	100.742	93.4238	136.745	79.0428	120.003	112.732	106.207	124.963	104.959	130.915	116.136	105.821	116.527	137.014	123.561	116.488	48.0292	61.3447	111.271	72.0747	92.9749	108.122	135.84	73.7805
	C46H84O8P1N1			PC(38:4)	810.5997	[M+H]+															460	419.609	246.631	456.47	361.837	304.916	349.538	263.161	405.852	344.353	578.727	295.816	461.566	347.671	430.766	468.788	396.758	469.178	462.432	442.674	434.09	469.049	395.775	386.614	167.903	234.854	352.347	276.198	427.7	301.281	439.795	249.223
	C46H82O8P1N1			PC(38:5)	808.5841	[M+H]+															206.902	166.901	109.834	233.476	190.947	195.844	243.277	163.659	197.392	162.718	272.975	142.472	196.506	133.991	234.374	183.969	207.253	174.837	173.18	239.202	185.352	143.048	141.61	156.188	83.1886	116.896	155.873	118.812	171.162	129.604	203.645	118.861
	C46H80O8P1N1			PC(38:6)	806.5686	[M+H]+															448.318	329.754	215.981	505.093	406.772	432.361	535.306	328.286	412.12	331.17	560.442	285.754	378.89	206.422	456.342	362.946	373.215	337.255	344.109	469.926	336.775	237.278	268.824	296.858	156.171	250.523	301.023	240.088	318.071	224.047	370.18	237.825
	C46H78O8P1N1			PC(38:7)	804.5528	[M+H]+															23.0658	16.5238	12.6139	33.2612	22.4392	29.2397	54.0328	30.3991	24.0607	19.021	36.1549	16.3721	21.1784	11.4878	30.4439	18.9631	25.5818	16.8784	14.8137	30.713	19.5786	9.84365	13.0937	16.597	7.87813	15.4027	15.3761	12.9177	15.4512	13.5138	21.9425	15.4994
	C47H90O8P1N1			PC(39:2)	828.6468	[M+H]+															1.08752	1.04182	0.335758	0.409684	0.480724	0.433643	0.424755	0.673121	0.661679	0.656203	0.489598	0.531755	0.849049	0.529133	0.647734	0.255366	0.518456	0.782753	0.664008	0.646172	0.696375	1.05207	0.915938	0.791267	0.352729	0.633983	0.765477	0.600978	0.91512	0.742411	0.993908	0.471285
	C47H88O8P1N1			PC(39:3)	826.6312	[M+H]+															1.45328	1.22391	0.639852	1.15072	1.24329	0.77186	0.630981	0.883136	1.07315	0.896972	1.51734	0.812378	1.37922	0.918299	0.797752	1.19414	1.23735	1.45863	0.956234	1.22523	1.39357	1.49404	1.60914	1.4512	0.395909	0.459458	1.03893	0.456582	0.992736	1.54731	1.27987	0.426194
	C47H86O8P1N1			PC(39:4)	824.6155	[M+H]+															7.21971	5.65205	2.41836	4.54047	4.36791	3.86248	3.25821	2.8545	4.19092	3.68816	7.99705	3.36594	5.74849	4.12178	3.75287	4.76759	4.37612	6.13117	6.54429	5.10292	5.98869	7.14973	5.62808	5.14508	1.69306	2.6942	3.46147	2.99109	5.83376	4.3178	5.17488	2.36291
	C47H84O8P1N1			PC(39:5)	822.6	[M+H]+															1.47463	1.08484	0.67561	1.24175	1.51368	1.01504	1.22803	0.863302	1.2755	0.709002	1.70507	1.02736	1.25421	0.911194	1.17614	1.17614	1.1955	1.46045	1.008	1.87013	0.969482	0.936381	0.938669	1.28105	0.483159	0.536061	0.802957	0.57208	1.77136	0.963623	1.01374	0.527708
	C47H82O8P1N1			PC(39:6)	820.5844	[M+H]+															2.95026	2.70621	1.01637	3.11763	3.39253	3.20001	2.24256	1.42896	2.09336	1.54414	4.17216	1.63787	2.05023	1.78781	2.1625	2.41315	1.88374	2.63187	3.33944	2.7373	2.56664	2.56296	1.93162	2.34826	0.975931	1.33189	1.85552	1.89528	2.91255	1.5008	1.9957	1.28385
	C48H96O8P1N1			PC(40:0)	846.6938	[M+H]+															0.329738	0.823143	0.704595	0.477325	0.465908	0.48854	0.280098	0.261728	0.499782	0.448906	0.190736	0.34819	0.0754948	0.413786	0.260988	0.38824	0.69362	0.679721	1.27674	0.411124	0.365428	0.432766	1.71493	0.934171	0.117157	0.385922	1.2263	0.581078	0.862361	0.833625	0.29476	0.249518
