Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
MS15006024_NEG	Extraction	120 μl isopropanol	none	MS15006024_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006024_NEG	FILES/MS15006024_NEG.raw.zip	Data transformation	MS15006024_NEG		Metabolite identification	MS15006024_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006054_NEG	Extraction	120 μl isopropanol	none	MS15006054_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006054_NEG	FILES/MS15006054_NEG.raw.zip	Data transformation	MS15006054_NEG		Metabolite identification	MS15006054_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006084_NEG	Extraction	120 μl isopropanol	none	MS15006084_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006084_NEG	FILES/MS15006084_NEG.raw.zip	Data transformation	MS15006084_NEG		Metabolite identification	MS15006084_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006114_NEG	Extraction	120 μl isopropanol	none	MS15006114_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006114_NEG	FILES/MS15006114_NEG.raw.zip	Data transformation	MS15006114_NEG		Metabolite identification	MS15006114_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006025_NEG	Extraction	120 μl isopropanol	none	MS15006025_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006025_NEG	FILES/MS15006025_NEG.raw.zip	Data transformation	MS15006025_NEG		Metabolite identification	MS15006025_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006055_NEG	Extraction	120 μl isopropanol	none	MS15006055_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006055_NEG	FILES/MS15006055_NEG.raw.zip	Data transformation	MS15006055_NEG		Metabolite identification	MS15006055_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006085_NEG	Extraction	120 μl isopropanol	none	MS15006085_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006085_NEG	FILES/MS15006085_NEG.raw.zip	Data transformation	MS15006085_NEG		Metabolite identification	MS15006085_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006115_NEG	Extraction	120 μl isopropanol	none	MS15006115_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006115_NEG	FILES/MS15006115_NEG.raw.zip	Data transformation	MS15006115_NEG		Metabolite identification	MS15006115_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_033_NEG	Extraction	120 μl isopropanol	none	20150707_QC_033_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_033_NEG	FILES/20150707_QC_033_NEG.raw.zip	Data transformation	20150707_QC_033_NEG		Metabolite identification	20150707_QC_033_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006026_NEG	Extraction	120 μl isopropanol	none	MS15006026_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006026_NEG	FILES/MS15006026_NEG.raw.zip	Data transformation	MS15006026_NEG		Metabolite identification	MS15006026_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006056_NEG	Extraction	120 μl isopropanol	none	MS15006056_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006056_NEG	FILES/MS15006056_NEG.raw.zip	Data transformation	MS15006056_NEG		Metabolite identification	MS15006056_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006086_NEG	Extraction	120 μl isopropanol	none	MS15006086_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006086_NEG	FILES/MS15006086_NEG.raw.zip	Data transformation	MS15006086_NEG		Metabolite identification	MS15006086_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006116_NEG	Extraction	120 μl isopropanol	none	MS15006116_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006116_NEG	FILES/MS15006116_NEG.raw.zip	Data transformation	MS15006116_NEG		Metabolite identification	MS15006116_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006057_NEG	Extraction	120 μl isopropanol	none	MS15006057_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006057_NEG	FILES/MS15006057_NEG.raw.zip	Data transformation	MS15006057_NEG		Metabolite identification	MS15006057_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006087_NEG	Extraction	120 μl isopropanol	none	MS15006087_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006087_NEG	FILES/MS15006087_NEG.raw.zip	Data transformation	MS15006087_NEG		Metabolite identification	MS15006087_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006117_NEG	Extraction	120 μl isopropanol	none	MS15006117_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006117_NEG	FILES/MS15006117_NEG.raw.zip	Data transformation	MS15006117_NEG		Metabolite identification	MS15006117_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006028_NEG	Extraction	120 μl isopropanol	none	MS15006028_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006028_NEG	FILES/MS15006028_NEG.raw.zip	Data transformation	MS15006028_NEG		Metabolite identification	MS15006028_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006058_NEG	Extraction	120 μl isopropanol	none	MS15006058_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006058_NEG	FILES/MS15006058_NEG.raw.zip	Data transformation	MS15006058_NEG		Metabolite identification	MS15006058_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_034_NEG	Extraction	120 μl isopropanol	none	20150707_QC_034_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_034_NEG	FILES/20150707_QC_034_NEG.raw.zip	Data transformation	20150707_QC_034_NEG		Metabolite identification	20150707_QC_034_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006088_NEG	Extraction	120 μl isopropanol	none	MS15006088_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006088_NEG	FILES/MS15006088_NEG.raw.zip	Data transformation	MS15006088_NEG		Metabolite identification	MS15006088_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006118_NEG	Extraction	120 μl isopropanol	none	MS15006118_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006118_NEG	FILES/MS15006118_NEG.raw.zip	Data transformation	MS15006118_NEG		Metabolite identification	MS15006118_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006029_NEG	Extraction	120 μl isopropanol	none	MS15006029_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006029_NEG	FILES/MS15006029_NEG.raw.zip	Data transformation	MS15006029_NEG		Metabolite identification	MS15006029_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006089_NEG	Extraction	120 μl isopropanol	none	MS15006089_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006089_NEG	FILES/MS15006089_NEG.raw.zip	Data transformation	MS15006089_NEG		Metabolite identification	MS15006089_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006119_NEG	Extraction	120 μl isopropanol	none	MS15006119_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006119_NEG	FILES/MS15006119_NEG.raw.zip	Data transformation	MS15006119_NEG		Metabolite identification	MS15006119_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006030_NEG	Extraction	120 μl isopropanol	none	MS15006030_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006030_NEG	FILES/MS15006030_NEG.raw.zip	Data transformation	MS15006030_NEG		Metabolite identification	MS15006030_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006090_NEG	Extraction	120 μl isopropanol	none	MS15006090_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006090_NEG	FILES/MS15006090_NEG.raw.zip	Data transformation	MS15006090_NEG		Metabolite identification	MS15006090_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006120_NEG	Extraction	120 μl isopropanol	none	MS15006120_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006120_NEG	FILES/MS15006120_NEG.raw.zip	Data transformation	MS15006120_NEG		Metabolite identification	MS15006120_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_035_NEG	Extraction	120 μl isopropanol	none	20150707_QC_035_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_035_NEG	FILES/20150707_QC_035_NEG.raw.zip	Data transformation	20150707_QC_035_NEG		Metabolite identification	20150707_QC_035_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_036_NEG	Extraction	120 μl isopropanol	none	20150707_QC_036_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_036_NEG	FILES/20150707_QC_036_NEG.raw.zip	Data transformation	20150707_QC_036_NEG		Metabolite identification	20150707_QC_036_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_037_NEG	Extraction	120 μl isopropanol	none	20150707_QC_037_NEG	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	negative	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_037_NEG	FILES/20150707_QC_037_NEG.raw.zip	Data transformation	20150707_QC_037_NEG		Metabolite identification	20150707_QC_037_NEG	m_MTBLS408_neg_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
