Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Genotype]	Term Source REF	Term Accession Number	Factor Value[Stimulation]	Term Source REF	Term Accession Number
Wt_03	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	Wt_03	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
Wt_04	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	Wt_04	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
Wt_05	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	Wt_05	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
Wt_06	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	Wt_06	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
WT24hLPS_01	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT24hLPS_01	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
WT24hLPS_02	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT24hLPS_02	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
WT24hLPS_03	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT24hLPS_03	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
WT24hLPS_04	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT24hLPS_04	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
WT24hLPS_05	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT24hLPS_05	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
WT24hLPS_06	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT24hLPS_06	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	liposaccharide	CHEBI	http://purl.obolibrary.org/obo/CHEBI_16412
WT_N_1	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT_N_1	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
WT_N_2	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT_N_2	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
WT_N_3	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT_N_3	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
WT_N_4	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT_N_4	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
WT_N_5	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT_N_5	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
WT_N_6	Mus musculus	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_10090	bone marrow-derived macrophage	BTO	http://purl.obolibrary.org/obo/BTO_0004732	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606				Sample collection	WT_N_6	wild type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	unstimulated	EFO	http://www.ebi.ac.uk/efo/EFO_0001461
